吸	基本义	吸收	一个常见的汉字使用频率较高基本义为吸收。
胡家鼐	号	燮臣	胡家鼐[近现代]字公调，号燮臣，胡家行五，胡家钰之兄，民国时期热河人，祖籍浙江绍兴上虞大胡庄。
石家绍	号	瑶辰	石家绍，字衣言，号瑶辰，封壁村人。
单国防	号	奈古山人	单国防，字默石，号双道人、奈古山人。
沈有容	号	宁海	沈有容（1557～1627），字士弘，号宁海，宣城市洪林镇 (今属安徽）人。
余耒	号	哲思轩居士	余耒（1984--0000），字思之，号哲思轩居士。
郭宏军	号	孤云	郭宏军字南南，号孤云，群众文化艺术工作者。
陈襄	号	古灵先生	陈襄（1017～1080）北宋理学家、“海滨四先生”之首，仁宗、神宗时期名臣。字述古，因居古灵，故号古灵先生，与郑穆、陈烈、周希孟并称“古灵四先生”，侯官（今福建福州）人。
韩正己	号	集萃斋主	韩正己（1964~））号集萃斋主，字闲欧。
侯尧封	号	复吾	侯尧封，字钦之，号复吾，明代紫堤村（今上海县诸翟镇）人，隆庆五年辛未科进士，任刑部主事，改四川道御史，继巡抚福建，终任福建代理布政使，以老告归。侯尧封是诸翟侯氏以后能形成当地巨族的重要一员，其后出现的侯氏名人侯震旸、侯峒曾、侯岐曾等都是他的子孙。
吴中坚	号	天柱	吴中坚(?～1951)，字炳鑫，号天柱，花名豆腐仔，广西百色市百色镇大巷人。
陆费墀	号	颐斋	陆费墀（？—1790），陆费，复姓，字丹叔，号颐斋。
田寿彭	号	稼石老农	田寿彭，（1926~）原名多获，字真如，号真如，稼石老农、石痴生。
胡若思	号	琴人	胡若思(1916.3—2004)，字遐思，号琴人。
王补石	号	桃华石	王补石（1942~）字商岩，号桃华石，别署商山布衣、方寸司马。
冯景夏	号	伯阳	冯景夏(1663—1741)，字树仁（一作树臣），号伯阳，清浙江桐乡人。
余寄寒	号	小石	余寄寒男，1948年12月生，上海市嘉定人。字天帆、号小石、别署寒竹斋主。
张芹香	号	自强	张芹香（1890.9～1941?夏）字泮藻，号自强。
路运忠	号	清莲雅士	路运忠，男，字乐善，号清莲雅士，汉族，1951年11月出生，山东茌平西路庄人，中共党员。
陈鸣秋	字	韵庵	陈鸣秋[清]字韵庵，号屏樵，闽县（今福州）人。
平江锁金	字	若溪	平江锁金，原名周祥林，字若溪，号青堂，又名平江锁金、平江。南京人，家属书香门第，母亲是京剧名伶程砚秋的传人。平江锁金在很小的时候就到部队里当了一名文艺兵。
张瑄	字	水石	张瑄，字水石，号明澈，大学文化启功先生学生。
宗演	字	洪岳	字洪岳，号楞伽窟、小厮子、不可往子。幼名常次郎。十二岁从越溪守谦出家，改名宗演。
焦金鹏	字	润酉	焦金鹏，字润酉，号长乐，丙辰年出生于中国盘古圣地泌阳县。
俞国儿	字	古耳	俞国儿（1958—）字古耳，号醉墨堂人、南明居士。
何道生	字	立之	何道生[清]（1766—1806），字立之，号兰士，山西灵石人。
崔茂善	字	雅喆	崔茂善，男，高级园林工程师，字雅喆，号乐天，云南宣威人。
方守彝	字	伦叔	方守彝（1845一1924)，字伦叔，号清一老人。
郭逢挺	字	郭果	郭逢挺河南省获嘉县人字郭果号静轩曾用名郭逢亭1952年毕业郑州师范先后在建国初期的郑州三区市政府郑州人民公园宣传组工作历任职工教育美术培训专业美术工作者。
陈玉辉	字	达卿	陈玉辉明（约公元一六一五年前后在世）字达卿，号荆碧，惠安人，今辋川镇后坑村人。
高祖宪	字	亦作幼尼、又宜	高祖宪（1870～1943）字又尼，亦作幼尼、又宜。
黄廷宣	字	汝为	黄廷宣，字汝为，号东村，福建莆田城关东里巷人。正统五年（1510）庚午，福建布政司乡试中式第一人为黄廷宣，邑人在城关后街为庚午解元黄廷宣等二十八人立“应宿坊”。
陈散原	字	伯严	陈散原(1853-1937)，字伯严，号散原，江西义宁州（今修水县人），其父是曾任湖南巡抚的陈宝箴，晚清四公子之一，其子陈寅恪，是中国著名的历史学家。
李镇东	字	修罗	李镇东，字修罗，号东邪，中国双节棍职业传播者，中国武汉凌云棍道双节棍俱乐部创始人。
招子庸	字	铭山	招子庸，原名功，字铭山，号明珊居士。广东南海横沙人。 招子庸出生于书香之家，其文笔矫健，诗文造诣颇深，亦善画工笔画，且精通韵律。
金之纯	字	健之	金之纯，生卒年月不详，字健之，号复滨，明末湖北广济人。
宋友林	字	秀良	曾用名宋友林字秀良，号双清斋主，别署普心斋主。
胡胤嘉	字	仁和人	胡胤嘉（1570-1614）字休复，仁和人。
毕泷	字	涧飞	毕泷，乾隆、嘉庆年间人，字涧飞，号竹痴，江苏镇洋（今江苏太仓）人。赵溶婿，秋帆制府毕沅之胞弟（毕沅是乾隆年间的状元、大学者，生平亦喜爱金石书画，家中收藏颇为丰富，曾购得《清明上河图》，画上便有毕泷、毕沅二人印记）。
钟国珍	字	佩玉	钟国珍，男，字佩玉，号官玖，清光绪三十三年(1907年)生，十方镇来福村人。
沈彦曾	字	士芙	沈彦曾[清]（约公元一八四o年前后在世）字士芙，号兰如，江苏长洲人。
陈宗洛	字	舒怀	陈宗洛1936年出生，字舒怀，号展鹏，河南博爱人，中共党员，中医正骨副主任中医师，河南省鹤壁市中医正骨研究所所长。
端木国瑚	字	子彝	端木国瑚（1773年-1837年），字子彝、鹤田、井伯，晚号太鹤山人，今浙江省青田县城太鹤山麓人。
冯仆	字	纯贤	冯仆（550~584），字纯贤，号独统，冯宝、冼夫人的儿子。
徐光虎	字	松竹	徐光虎，字松竹，号江南双笔，1986年出生于江西彭泽，2008年毕业于江西蓝天学院，现为中国硬笔书法协会会员，浙江省硬笔书法家协会会员。
施尧臣	字	庆甫	施尧臣（1493—1586），字庆甫，号华江，明代青阳县（今安徽青阳）人，嘉靖二十九年（1550）进士。
张若霈	字	云举	张若霈，字云举，号北冲，安徽桐城人。
邹忠倚	字	于度	邹忠倚，字于度，号海岳，江苏无锡泰伯乡人，生于明朝天启三年(1623年)。
沈廷文	字	原蘅	沈廷文（？－？），字原蘅，号元洲。
包和镜	字	润康	包和镜，生于一九四九年九月，字润康，号香炉山人，包拯二十九世孙，贵州凯里人氏，云南省农行机关老干部，实力派书法家。
颜光猷	字	秩宗	颜光猷（约公元一六九八年前后在世），字秩宗，号澹园，明末河间知府颜胤绍之孙，清廪生颜伯璟长子，山东曲阜人。
戚麟祥	字	圣来	戚麟祥，字圣来，号瓶谷，浙江德清人，清朝官员。戚麟祥回京应试，中进士，除福建连江知县。
黄启东	字	字霞鹤	黄启东（1891~1938），字霞鹤，号礼常，国民革命军第三十二军第二十三师少将参谋长，著名抗日爱国将领。
巩传深	字	黉基	巩传深，字黉基，号东方道人，1954年生于淄博恒台县，现为中国书画家协会会员，中国当代书法研究院研究员，山东美术家协会会员，山东画院画师，山东国画院理事，北京小写意书画研究院院士。
王述缙	字	公绅	王述缙[清]字公绅，号石泉，江苏太仓人。
王以憨	字	梦湘	王以憨，[清]（约公元一八九二年前后在世）字梦湘，号古伤，湖南武陵人，光绪十六年（公元一八九o年）进士。
魏建培	字	育仁	魏建培，1953年生，山东省莱芜市人。字育仁，号古镇山人。
李昕睿	字	昕睿	李昕睿，名李微微，字昕睿，号上善，藏传佛教法名文波嘉措，一亩书屋主人。
王又旦	字	幼华	王又旦（1636-1687），字幼华，号黄湄，明郃阳（今陕西省合阳）县百良乡百良村人。
刘宗向	字	寅先	刘宗向，（1879年一l951年)教育家。字寅先，号盅园，晚年又称补过生，湖南宁乡县狮子桥人。
何世玲	字	石棱	何世玲（1902—1927），字石棱、士林，别号曼侬，安徽省怀宁县江镇镇人，著名革命烈士。
潘驯	字	士雅	潘驯(1610-1681)，字士雅，号韵人。
罗纶	字	梓卿	罗纶（1876～1930），原名晋才，号康侯，字梓卿、梓青，西充县群德乡罗村沟人。
梁魁	字	美材	梁魁（？～1882），字美材，号朴樵，清代德庆州内厢人。
程兴文	字	书训	程兴文（程新文），字福勋（书勋、书训、树勋)，人称“程老五”、“五大头”，1889年5月出生。
陈经	字	伯常	陈经（生卒年不详），字伯常，号东渚，明中期大臣，益都（今青州）人。
王伯众	字	允诚	王伯众，字允诚，号悟真居士，江苏徐州人。
董其昌	字	玄宰	董其昌（1555—1636）， 字玄宰，号思白、香光居士。
苏克明	字	克明	苏克明，字进迪，号钢插公，蒙古族，蒙古苏氏始祖，为顺帝皇叔，封义王，现子孙遍布全国各地。
西镇江胡同	宽	5米	西镇江胡同，北京火车站西侧，呈东西走向，西端曲折。东起北京站西街，南止船板胡同，北有二支巷通庆平胡同。全长187米，宽5米，沥青路面。
一头沉	宽	90公分	一头沉－－写字台的一种，一般宽90公分，长110公分，有两屉的也有三屉的，在抽屉下方与桌腿相连处增加一个放文件的箱。
魏太和造像	宽	1.16米	魏太和造像，北京仅存的最完整、最古老的一尊石佛。市级文物保护单位。首都博物馆藏品。原位于海淀区聂各庄乡车耳营村北。北魏太和二十三年（499）雕刻。佛像为释迦牟尼，赤脚立姿，由一块椭圆形云岗石镌刻而成，全高2.2米、宽1.16米。
宝坻文化中心	宽	275米	规划中的宝坻文化中心，位于城区潮阳大道北侧，东西宽275米、南北长358.8米，目前处于规划中。
苏里高海峡	宽	10海里	苏里高海峡是连接莱特湾和保和海的通道，长30海里，宽10海里。
五井风景石市场	宽	1公里	【五井风景石市场】位于山东省临朐县五井镇政府驻地，五（井）冶（源）公路两侧，长3.5公里，宽1公里。
卢西塔尼亚号	宽	26.9米	卢西塔尼亚号（RMSLusitania）1907年--1915年长239.8米宽26.9米载客2165人隶属于英国卡纳德轮船公司。
仁济路	宽	8米	仁济路是中国广州市越秀区的一条南北走向的道路，位于一德路以南，沿江西路以北。长410米，宽8米。
得月亭	宽	5.5米	得月亭，位于浙江省云和县城东北部2.6公里，处在云和至处州的枫树古道间。该亭建于清嘉庆丙子年桂月吉旦，三进，二门直通。亭长9.5米，宽5.5米，高4.1米。
普雷斯帕湖	宽	12.8公里	普雷斯帕湖为巴尔干半岛的湖泊。在马其顿、阿尔巴尼亚和希腊交界处。构造湖。长23.8公里，宽12.8公里，面积285平方公里。
天门山玻璃栈道	宽	1.6米	天门山玻璃栈道，悬于天门山顶西线，长60米，宽1.6米，最高处海拔1430米。
云龙阶石	宽	3.07米	故宫三大殿之一保和殿后面三层须弥座高台正中的御路（专为皇帝用的路），由一块巨大的汉白玉雕成，这块御路石称为云龙阶石，它长16.57米，宽3.07米，厚1.07米，重量超过200吨，是紫禁城内最大的一块石料。
清早期红木凳	宽	31.4厘米	清早期红木凳，长42厘米、宽31.4厘米、高51厘米。
东风路立交桥	宽	15米	东风路立交桥长2620米，宽15米。
戊己桥	宽	1.5米	戊己桥，架于宁海县城东北24公里胡陈西张村南大麦塘口中堡溪上，石平桥，48孔，全长150米，宽1.5米，高2.47米。
俞家湾船坊	宽	5.60米	俞家湾船坊，俗名浜底下船棚。位于苏州市吴江区同里镇叶泽村俞家湾，东西走向，长，宽19.20米5.60米，水面至船坊顶部高3.67米，由12根花岗岩石柱支撑，木梁架构，蝴蝶瓦封顶，周边砌有驳岸、石河埠。
铜绿山古铜矿遗址博物馆	宽	30米	博物馆铜绿山古铜矿遗址博物馆是中国第一座反映古代矿冶科技史的专门性博物馆。位于湖北省黄石市大冶县境内。1984年12月建成开放。博物馆展览大厅长36米，宽30米，高14米。
安邱堌堆遗址	宽	500米	安邱堌堆遗址属全国重点文物保护单位，位于菏泽市东南12公里，佃户屯乡曹楼村东南约100米处。现存堌堆高3米，长宽各500米，四壁较直，断面暴露有文化层。
银鎏金錾印章图案长方盒	宽	19厘米	银鎏金錾印章图案长方盒长30厘米，宽19厘米，高7.7厘米。
大角湾旅游区	宽	50～60米	大角湾旅游区位于海陵岛闸坡镇东南，是海陵岛知名度最高的景点。美丽的大角湾滩长2.45公里，宽50～60米，螺线形湾似巨大的牛角，故名大角湾。
铜胎嵌青金石三角盒	宽	9厘米	铜胎嵌青金石三角盒长13.5厘米，宽9厘米，高5.8厘米。
铁罗汉像	宽	74cm	铁罗汉像，明弘治十年（1497年）造，高117cm，宽74cm。
冯村进士坊	宽	8.2米	冯村进士坊，石牌坊名。位于绩溪县浩寨乡冯村。四柱三门五楼，花岗石结构。高8米，宽8.2米，进深2.米。
牧畜图壁画砖	宽	17.3厘米	牧畜图壁画砖是北方牧民写真画，尺寸为长35、宽17.3厘米。
齐家文化圆雕玉人	宽	2.4厘米	这件齐家文化圆雕玉人，高5.4厘米，宽2.4厘米，前后厚2.6厘米。
合生银耳	宽	1-2cm	合生银耳，真菌植物。担子果柔软胶质，黑褐色，平展，无柄而有狭窄着生的基部，贴伏枯枝上，常作垫状或浅碟状，密集丛生彼此连结堆集卷褶而成不整形小块，长1-3.5cm，宽1-2cm，高0.2-1cm。
苏州城市形象片	宽	12.2米	苏州城市形象片展示屏位于纽约时报广场2号大楼南侧，是一块直立竖屏，长19.5米、宽12.2米，为无声纯视频屏幕。根据安排，苏州城市形象片将播放三年。
粮船	宽	十二丈	罗懋登说，粮船有七桅，长二十八丈，宽十二丈。
清雍正端石留耕砚	宽	11.2	此清雍正端石留耕砚为老坑石，右上阳文篆书“留耕”二字，左上方圆角方池。砚后楷书铭曰：“雍正二年闰四月初八日召见养心殿，赐臣余甸之砚。恭纪圣恩，子孙永宝。”砚匣为此檀木，砚长17.8、宽11.2、高2.5公分。
黄道周墓	宽	10米	黄道周墓坐南朝北，为三合土结构，宽10米，长12米，周围种满树木。
盘龙洞	宽	13米	盘龙洞深16米，宽13米，高3－4米，最高处达8米，洞内常年恒温在17度左右。
白釉黑彩蹴鞠图瓷枕	宽	19.5厘米	白釉黑彩蹴鞠图瓷枕宋代瓷器长29.5厘米宽19.5厘米高10.50厘米河南博物院征集。
民国十九年湘西苗族柳旗	宽	39.5厘米	民国十九年湘西苗族柳旗，长38厘米，宽39.5厘米。
张家港保利大剧院	宽	68米	张家港保利大剧院建筑面积22000平方米，分地下二层、地上五层，长120米，宽68米，总高度30米；由美国威尔考特顾问公司进行方案设计、上海现代设计集团进行建筑设计。
